ID,Area,Competitor,Beds,Baths,Model,Security Deposit,Report Date,Type,Pricing,Sqft,Available,Unit,Address,URL,Bed/Baths
Commonwealth Apartments Studio,Brighton Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,1900,250,"Jan 2, 2025",33,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio,Brighton Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,1950,250,"Jan 2, 2025",47,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio,Brighton Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,2075,250,"Jan 2, 2025",27,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio,Brighton Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,2100,250,"Jan 2, 2025",38,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio,Brighton Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,1900,250,"Feb 2, 2025",48,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio,Brighton Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,1900,250,"Mar 2, 2025",33,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio-Alcove,Brighton Area,Commonwealth Apartments,0,1,Studio-Alcove,,12/17/2024,Grid,1975,360,Now,40,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio-Small,Brighton Area,Commonwealth Apartments,0,1,Studio-Small,,12/17/2024,Grid,2000,200,"Jan 2, 2025",12A,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio-Small,Brighton Area,Commonwealth Apartments,0,1,Studio-Small,,12/17/2024,Grid,2000,200,"Mar 2, 2025",12,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments 1 Bedroom,Brighton Area,Commonwealth Apartments,1,1,1 Bedroom,,12/17/2024,Grid,2050,525,Now,0C,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,1 Bed 1 Bath
